Date,Open,High,Low,Close,Volume,,,
19-08-2026,1125.6,1134.7,1113.8,1119.8,8408573,,,
20-08-2026,1143,1144.7,1125.7,1130,8559841,,,
21-08-2026,1133,1133.5,1118,1121,6094967,,,
24-08-2026,1126.5,1144.5,1122,1130,8565354,,,
25-08-2026,1132,1144,1119.9,1144,8121237,,,
26-08-2026,1142,1142,1118.3,1120,6323984,,,
27-08-2026,1120,1130.7,1107.2,1110.8,6933998,,,
28-08-2026,1123.6,1145,1123.3,1144,9621969,,,
31-08-2026,1138.6,1143.9,1111.1,1133.8,8808120,,,
01-09-2026,1128,1156,1125.6,1156,13516123,,,
02-09-2026,1137.7,1147.8,1118.6,1140,8564358,,,
03-09-2026,1144,1144,1122.5,1130.3,5786250,,,
04-09-2026,1133,1146.7,1125.4,1130,5881388,,,
07-09-2026,1109.5,1109.9,1085,1087.5,7668346,,,
08-09-2026,1095,1095,1078.9,1082,6269037,,,
09-09-2026,1059,1059,1026.5,1035,13530457,,,
10-09-2026,1039.6,1046.6,1027.3,1036.5,8998529,,,
11-09-2026,1032,1047.3,1029.7,1037.7,6168088,,0.11577424,4D
15-09-2026,1085,1097.7,1071.7,1077,14816117,,3.78722174,3D
16-09-2026,1082.5,1085.1,1053.5,1060,6230590,,-1.578458682,2D
17-09-2026,1054.9,1063.6,1048.6,1058.6,5469865,,-0.132075472,1D
18-09-2026,1061.9,1061.9,1038,1051.4,22124953,,-0.680143586,D%
