Stock Name,Exchange,Token,Type,Quantity,Average Price,CMP,PC,Day High,Volume,Buy Date,Buy Price,Broker,1D%,2D%,3D%,4D%,D%,DH%,SAlert,Total Invested,Current Value,Net P&L,ROI (%)
ANANTRAJ,NSE,13620,Holding,60.0,652.09,606.15,596.9,607.5,1464027.0,,652.09,angel_one,,,,,1.5496733121125819,1.7758418495560435,-0.22271714922049374,39125.4,36369.0,-2756.4000000000015,-7.045039795120308
IRCON,NSE,4986,Holding,50.0,237.18,109.85,107.86,110.75,2642536.0,,237.18,angel_one,,,,,1.8449842388281057,2.679399221212684,-0.8192990441511203,11859.0,5492.5,-6366.5,-53.68496500548107
NIFTYBEES,NSE,10576,Holding,50.0,280.98,266.53,266.08,267.89,3645562.0,,280.98,angel_one,,,,,0.16912206855080752,0.680246542393266,-0.5102615090233796,14049.0,13326.499999999998,-722.5000000000018,-5.142714783970402
TATSILV,NSE,21428,Holding,500.0,23.43,22.74,21.99,22.87,58813645.0,,23.43,angel_one,,,,,3.4106412005457027,4.001819008640303,-0.5716798592788152,11715.0,11370.0,-345.0,-2.9449423815621
HMAAGRO,NSE,17053,Watchlist,0.0,0.0,23.77,23.08,24.36,3564052.0,,,angel_one,2.9896013864818083,3.16840277777778,1.5378043571123428,18.43547583457897,2.9896013864818083,5.545927209705378,-2.4821203197307526,0.0,0.0,0.0,0.0
TECHNOCRAF,NSE,764532,Watchlist,0.0,0.0,440.8,439.15,459.2,859607.0,,,angel_one,0.3757258339975029,0.3186162949476637,3.8765170260398225,-0.3391363328057879,0.3757258339975029,4.565638164636232,-4.174228675136111,0.0,0.0,0.0,0.0
KIRLOSIND,NSE,19025,Watchlist,0.0,0.0,3699.8,3780.6,3845.9,21797.0,,,angel_one,-2.1372268952018127,-1.8672749456262172,-3.500260824204481,-3.3565812501632575,-2.1372268952018127,1.7272390625826635,-3.9488621006540865,0.0,0.0,0.0,0.0
CLEAN,NSE,5049,Watchlist,0.0,0.0,851.9,828.15,872.85,891352.0,,,angel_one,2.8678379520618247,3.8902439024390216,3.8522491771303216,1.1697642657799445,2.8678379520618247,5.3975729034595235,-2.4592088273271564,0.0,0.0,0.0,0.0
EXCELSOFT,NSE,760007,Watchlist,0.0,0.0,78.08,79.8,80.19,372636.0,,,angel_one,-2.1553884711779436,-2.6069602095547006,0.5796728069045509,-3.6406269282981643,-2.1553884711779436,0.4887218045112789,-2.7023565573770485,0.0,0.0,0.0,0.0
HIKAL,NSE,9668,Watchlist,0.0,0.0,226.04,225.29,232.34,382596.0,,,angel_one,0.33290425673576285,0.7398163829218276,6.512110074451039,0.48455212269393355,0.33290425673576285,3.1293000133161755,-2.7871173243673737,0.0,0.0,0.0,0.0
