Stock Name,Exchange,Token,Type,Quantity,Average Price,CMP,PC,Day Open,Day High,Volume,Buy Date,Buy Price,Sell Price,Side,Status,PD Volume,Broker,1D%,2D%,3D%,4D%,PMC,D%,DH%,SAlert,Total Invested,Current Value,Net P&L,ROI (%)
INFY,NSE,1594,Holding,1.0,1047.8,1051.4,1058.6,1061.9,1061.9,22124953.0,,1047.8,,LONG,OPEN,5469865,indmoney,-0.13207547169812178,-1.5784586815227482,3.7872217403873907,0.11577424023155287,1133.8,-0.6801435858681106,0.3117324768562424,-0.9986684420772304,1047.8,1051.4,3.6000000000001364,0.34357701851499683
HMAAGRO,NSE,17053,Watchlist,0.0,0.0,23.77,23.08,23.0,24.36,3564052.0,,,,LONG,OPEN,1986317,indmoney,0.1736111111111074,-1.5805211448099143,16.6417538614848,0.45045045045044974,20.98,2.9896013864818083,5.545927209705378,-2.4821203197307526,0.0,0.0,0.0,0.0
TECHNOCRAF,NSE,764532,Watchlist,0.0,0.0,440.8,439.15,441.05,459.2,859607.0,,,,LONG,OPEN,1068609,indmoney,-0.05689576695493856,3.5466006833981276,-4.058331449242593,0.6599908966772949,369.12,0.3757258339975029,4.565638164636232,-4.174228675136111,0.0,0.0,0.0,0.0
KIRLOSIND,NSE,19025,Watchlist,0.0,0.0,3699.8,3780.6,3780.6,3845.9,21797.0,,,,LONG,OPEN,6731,indmoney,0.27584743514933135,-1.6640584246218098,0.14889115273097245,7.031424737195257,3737.9,-2.1372268952018127,1.7272390625826635,-3.9488621006540865,0.0,0.0,0.0,0.0
CLEAN,NSE,5049,Watchlist,0.0,0.0,851.9,828.15,831.0,872.85,891352.0,,,,LONG,OPEN,138156,indmoney,0.9939024390243875,-0.036571985858826594,-2.582982008194288,-0.75431669514999,822.85,2.8678379520618247,5.3975729034595235,-2.4592088273271564,0.0,0.0,0.0,0.0
EXCELSOFT,NSE,760007,Watchlist,0.0,0.0,78.08,79.8,80.0,80.19,372636.0,,,,LONG,OPEN,566163,indmoney,-0.46151927154796624,3.271930954527897,-4.195976798716532,1.1863136863136898,69.93,-2.1553884711779436,0.4887218045112789,-2.7023565573770485,0.0,0.0,0.0,0.0
HIKAL,NSE,9668,Watchlist,0.0,0.0,226.04,225.29,225.29,232.34,382596.0,,,,LONG,OPEN,647006,indmoney,0.4055619930475072,5.729902930920741,-5.659035341186926,-4.186898372944889,201.41,0.33290425673576285,3.1293000133161755,-2.7871173243673737,0.0,0.0,0.0,0.0
TAINWALCHM,NSE,3396,Watchlist,0.0,0.0,213.11,210.04,208.0,215.0,2239.0,,,,LONG,OPEN,5026,indmoney,0.45434980152087073,1.995121951219514,-1.3427017662062621,-1.0618036377487945,209.94,1.4616263568844132,2.361454960959821,-0.8868659377786056,0.0,0.0,0.0,0.0
VIJAYA,NSE,5585,Watchlist,0.0,0.0,1558.9,1506.1,1510.0,1569.0,278137.0,,,,LONG,OPEN,196070,indmoney,4.713898352221369,-0.3740389277550801,-3.881491344873499,0.2135041366426505,1518.4,3.505743310537161,4.176349511984602,-0.6478927448842073,0.0,0.0,0.0,0.0
KIRLFER,NSE,14466,Watchlist,0.0,0.0,480.65,474.35,479.75,489.0,201207.0,,,,LONG,OPEN,68163,indmoney,0.7326396262476207,1.3014951059481454,-0.05375188131584606,-0.21454623471358078,452.2,1.3281332349530839,3.088436808263935,-1.7372308332466497,0.0,0.0,0.0,0.0
ACE,NSE,13587,Watchlist,0.0,0.0,1229.2,1205.6,1212.3,1241.5,881443.0,,,,LONG,OPEN,685925,indmoney,4.86213794903017,1.5546329829520482,0.2745792736935261,0.695683196575094,1110.5,1.9575315195753267,2.977770404777712,-1.0006508298080015,0.0,0.0,0.0,0.0
NORTHARC,NSE,25426,Watchlist,0.0,0.0,313.6,310.55,311.9,315.5,1062365.0,,,,LONG,OPEN,2358970,indmoney,4.950996958431914,0.5778382053025114,-3.5725991478203976,-1.310043668122256,311.65,0.9821284817259737,1.593946224440505,-0.6058673469387682,0.0,0.0,0.0,0.0
JYOTHYLAB,NSE,15146,Watchlist,0.0,0.0,195.07,193.84,193.5,196.6,713471.0,,,,LONG,OPEN,233311,indmoney,-0.8034389232894904,1.6595567578815928,-1.455962268020098,-0.30155890621007075,203.47,0.6345439537763051,1.423854725546838,-0.7843338288819404,0.0,0.0,0.0,0.0
PCJEWELLER,NSE,29124,Watchlist,0.0,0.0,12.72,12.35,12.51,13.04,332313201.0,,,,LONG,OPEN,225554471,indmoney,-2.2943037974683618,-1.9394879751745537,-5.912408759124078,-0.9399855386840258,10.99,2.995951417004057,5.587044534412952,-2.5157232704402395,0.0,0.0,0.0,0.0
SANSTAR,NSE,24582,Watchlist,0.0,0.0,115.7,115.54,115.55,117.0,168121.0,,,,LONG,OPEN,348381,indmoney,2.4199982271075293,1.8508486818345948,0.2080883018185144,2.9335071707953118,110.36,0.13848018002423107,1.26363164272113,-1.1235955056179752,0.0,0.0,0.0,0.0
INDOCO,NSE,11677,Watchlist,0.0,0.0,249.01,254.44,254.44,259.65,205516.0,,,,LONG,OPEN,288596,indmoney,0.17322834645669202,5.223911512490167,-8.223709223633183,3.449360865290062,243.34,-2.134098412199342,2.0476340198081986,-4.272920766234282,0.0,0.0,0.0,0.0
EIEL,NSE,27213,Watchlist,0.0,0.0,200.01,199.64,201.0,202.0,574560.0,,,,LONG,OPEN,1527032,indmoney,2.4477857032893633,-1.0360062972931756,-4.924919125102611,-2.145050791400894,196.92,0.18533360048086786,1.1821278300941764,-0.9949502524873803,0.0,0.0,0.0,0.0
SUPERHOUSE,NSE,20616,Watchlist,0.0,0.0,165.1,167.58,171.95,171.95,7472.0,,,,LONG,OPEN,5587,indmoney,0.05970862192501955,-1.3837366778543383,0.10020040080161259,-1.1708510514358892,170.6,-1.4798902016947237,2.6077097505668787,-4.149000605693516,0.0,0.0,0.0,0.0
